[0, 0.6057857142857143, 0.0, 0.0]
[1, 0.46945555555555557, 0.0, 1.0]
[0, 0.46802380952380956, 0.0, 2.0]
[0, 0.4706015873015873, 0.0, 3.0]
[0, 0.3202238095238095, 0.0, 4.0]
[1, 0.6103253968253968, 0.0, 5.0]
[1, 0.6293269841269842, 0.0, 6.0]
[1, 0.7421238095238095, 0.0, 7.0]
[0, 0.7866650793650793, 10.0, 0.0]
[0, 0.7870984126984126, 10.0, 1.0]
[1, 0.340531746031746, 10.0, 2.0]
[0, 0.592363492063492, 10.0, 3.0]
[0, 0.5329682539682539, 10.0, 4.0]
[1, 0.27415873015873016, 10.0, 5.0]
[1, 0.7461285714285715, 10.0, 6.0]
[1, 1, 10.0, 7.0]
[0, 0.6384968253968254, 20.0, 0.0]
[0, 0.8040317460317461, 20.0, 1.0]
[0, 0.613863492063492, 20.0, 2.0]
[0, 0.6614031746031745, 20.0, 3.0]
[1, 0.4597349206349206, 20.0, 4.0]
[1, 0.6411349206349206, 20.0, 5.0]
[1, 0.5612380952380952, 20.0, 6.0]
[1, 1, 20.0, 7.0]
[0, 0.6696142857142857, 30.0, 0.0]
[0, 0.7496095238095238, 30.0, 1.0]
[0, 0.4515349206349206, 30.0, 2.0]
[0, 0.49102380952380953, 30.0, 3.0]
[1, 0.31848571428571426, 30.0, 4.0]
[0, 0.4505126984126984, 30.0, 5.0]
[1, 0.8443476190476189, 30.0, 6.0]
[1, 1, 30.0, 7.0]
[0, 0.9066444444444445, 40.0, 0.0]
[0, 0.6728920634920635, 40.0, 1.0]
[0, 0.7875650793650794, 40.0, 2.0]
[0, 0.678736507936508, 40.0, 3.0]
[1, 0.5000730158730158, 40.0, 4.0]
[1, 0.44722222222222224, 40.0, 5.0]
[1, 0.7688507936507937, 40.0, 6.0]
[1, 0.6407603174603175, 40.0, 7.0]
[0, 0.8448603174603173, 50.0, 0.0]
[0, 1, 50.0, 1.0]
[0, 0.803831746031746, 50.0, 2.0]
[0, 0.7131587301587301, 50.0, 3.0]
[0, 0.621452380952381, 50.0, 4.0]
[0, 0.44136825396825397, 50.0, 5.0]
[1, 0.960784126984127, 50.0, 6.0]
[1, 0.9687460317460317, 50.0, 7.0]
[0, 0.9360222222222223, 60.0, 0.0]
[0, 0.7671984126984126, 60.0, 1.0]
[0, 1, 60.0, 2.0]
[1, 0.6144396825396825, 60.0, 3.0]
[0, 0.8570968253968254, 60.0, 4.0]
[1, 0.5545301587301588, 60.0, 5.0]
[1, 0.7909142857142857, 60.0, 6.0]
[1, 0.44075555555555557, 60.0, 7.0]
[0, 0.9433777777777779, 70.0, 0.0]
[0, 1, 70.0, 1.0]
[0, 1, 70.0, 2.0]
[0, 1, 70.0, 3.0]
[1, 0.45198095238095237, 70.0, 4.0]
[1, 0.5332714285714285, 70.0, 5.0]
[1, 0.524447619047619, 70.0, 6.0]
